,index,State,Crop,Year,Season,Production
0,15591,Punjab,Bajra,1997-98,Kharif,8000.0
1,15592,Punjab,Bajra,1998-99,Kharif,4000.0
2,15593,Punjab,Bajra,1999-00,Kharif,4000.0
3,15594,Punjab,Bajra,2000-01,Kharif,5000.0
4,15595,Punjab,Bajra,2002-03,Kharif,6000.0
5,15596,Punjab,Bajra,2003-04,Kharif,8000.0
6,15597,Punjab,Bajra,2004-05,Kharif,7000.0
7,15598,Punjab,Bajra,2005-06,Kharif,5000.0
8,15599,Punjab,Bajra,2006-07,Kharif,6000.0
9,15600,Punjab,Bajra,2007-08,Kharif,4000.0
10,15601,Punjab,Bajra,2008-09,Kharif,5000.0
11,15602,Punjab,Bajra,2009-10,Kharif,4000.0
12,15603,Punjab,Bajra,2010-11,Kharif,3000.0
13,15604,Punjab,Bajra,2011-12,Kharif,3000.0
14,15605,Punjab,Bajra,2012-13,Kharif,3000.0
15,15606,Punjab,Bajra,2013-14,Kharif,800.0
16,15607,Punjab,Bajra,2016-17,Kharif,700.0
17,15608,Punjab,Bajra,2017-18,Kharif,600.0
18,15609,Punjab,Bajra,2018-19,Kharif,700.0
19,15610,Punjab,Bajra,2019-20,Kharif,300.0
