,index,State,Crop,Year,Season,Production
0,15591,Punjab,Bajra,1997,Kharif,8000.0
1,15592,Punjab,Bajra,1998,Kharif,4000.0
2,15593,Punjab,Bajra,1999,Kharif,4000.0
3,15594,Punjab,Bajra,2000,Kharif,5000.0
4,15595,Punjab,Bajra,2002,Kharif,6000.0
5,15596,Punjab,Bajra,2003,Kharif,8000.0
6,15597,Punjab,Bajra,2004,Kharif,7000.0
7,15598,Punjab,Bajra,2005,Kharif,5000.0
8,15599,Punjab,Bajra,2006,Kharif,6000.0
9,15600,Punjab,Bajra,2007,Kharif,4000.0
10,15601,Punjab,Bajra,2008,Kharif,5000.0
11,15602,Punjab,Bajra,2009,Kharif,4000.0
12,15603,Punjab,Bajra,2010,Kharif,3000.0
13,15604,Punjab,Bajra,2011,Kharif,3000.0
14,15605,Punjab,Bajra,2012,Kharif,3000.0
15,15606,Punjab,Bajra,2013,Kharif,800.0
16,15607,Punjab,Bajra,2016,Kharif,700.0
17,15608,Punjab,Bajra,2017,Kharif,600.0
18,15609,Punjab,Bajra,2018,Kharif,700.0
19,15610,Punjab,Bajra,2019,Kharif,300.0
