,index,State,Crop,Year,Season,Production
0,15941,Punjab,Wheat,1997-98,Rabi,12715000.0
1,15942,Punjab,Wheat,1998-99,Rabi,14460000.0
2,15943,Punjab,Wheat,1999-00,Rabi,15910000.0
3,15944,Punjab,Wheat,2000-01,Rabi,15551000.0
4,15945,Punjab,Wheat,2001-02,Rabi,15499000.0
5,15946,Punjab,Wheat,2002-03,Rabi,14175000.0
6,15947,Punjab,Wheat,2003-04,Rabi,14489000.0
7,15948,Punjab,Wheat,2004-05,Rabi,14698000.0
8,15949,Punjab,Wheat,2005-06,Rabi,14493000.0
9,15950,Punjab,Wheat,2006-07,Rabi,14596000.0
10,15951,Punjab,Wheat,2007-08,Rabi,15720000.0
11,15952,Punjab,Wheat,2008-09,Rabi,15733000.0
12,15953,Punjab,Wheat,2009-10,Rabi,15169000.0
13,15954,Punjab,Wheat,2010-11,Rabi,16472000.0
14,15955,Punjab,Wheat,2011-12,Rabi,17982000.0
15,15956,Punjab,Wheat,2012-13,Rabi,16614000.0
16,15957,Punjab,Wheat,2013-14,Rabi,17620000.0
17,15958,Punjab,Wheat,2014-15,Rabi,15050000.0
18,15959,Punjab,Wheat,2015-16,Rabi,16077000.0
19,15960,Punjab,Wheat,2016-17,Rabi,17636000.0
20,15961,Punjab,Wheat,2017-18,Rabi,17830000.0
21,15962,Punjab,Wheat,2018-19,Rabi,18262000.0
22,15963,Punjab,Wheat,2019-20,Rabi,17619000.0
